,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_code
0,13.0,8,360.0,175.0,3821,11.0,73,1,0
1,15.0,8,390.0,190.0,3850,8.5,70,1,1
2,17.0,8,304.0,150.0,3672,11.5,72,1,2
3,19.4,6,232.0,90.0,3210,17.2,78,1,3
4,24.3,4,151.0,90.0,3003,20.1,80,1,3
5,18.1,6,258.0,120.0,3410,15.1,78,1,4
6,23.0,4,151.0,104.35761421319798,3035,20.5,82,1,5
7,20.2,6,232.0,90.0,3265,18.2,79,1,6
8,21.0,6,199.0,90.0,2648,15.0,70,1,7
9,19.0,6,232.0,100.0,2634,13.0,71,1,7
10,18.0,6,232.0,100.0,2789,15.0,73,1,7
11,20.0,6,232.0,100.0,2914,16.0,75,1,7
12,18.0,6,199.0,97.0,2774,15.5,70,1,8
13,18.0,6,232.0,100.0,2945,16.0,73,1,8
14,19.0,6,232.0,100.0,2901,16.0,74,1,8
15,22.5,6,232.0,90.0,3085,17.6,76,1,8
16,18.0,6,258.0,110.0,2962,13.5,71,1,9
17,18.0,6,232.0,100.0,3288,15.5,71,1,10
18,14.0,8,304.0,150.0,3672,11.5,73,1,10
19,16.0,6,258.0,110.0,3632,18.0,74,1,10
20,15.0,6,258.0,110.0,3730,19.0,75,1,10
21,15.5,8,304.0,120.0,3962,13.9,76,1,10
22,15.0,8,304.0,150.0,3892,12.5,72,1,11
23,14.0,8,304.0,150.0,4257,15.5,74,1,11
24,19.0,6,232.0,90.0,3211,17.0,75,1,12
25,17.5,6,258.0,95.0,3193,17.8,76,1,13
26,16.0,8,304.0,150.0,3433,12.0,70,1,14
27,27.4,4,121.0,80.0,2670,15.0,79,1,15
28,24.0,4,107.0,90.0,2430,14.5,70,2,16
29,20.0,4,114.0,91.0,2582,14.0,73,2,17
30,23.0,4,115.0,95.0,2694,15.0,75,2,17
31,34.3,4,97.0,78.0,2188,15.8,80,2,18
32,20.3,5,131.0,103.0,2830,15.9,78,2,19
33,36.4,5,121.0,67.0,2950,19.9,80,2,20
34,29.0,4,98.0,83.0,2219,16.5,74,2,21
35,26.0,4,121.0,113.0,2234,12.5,70,2,22
36,21.5,4,121.0,110.0,2600,12.8,77,2,23
37,17.0,6,231.0,110.0,3907,21.0,75,1,24
38,22.4,6,231.0,110.0,3415,15.8,81,1,24
39,13.0,8,350.0,175.0,4100,13.0,73,1,25
40,25.0,6,181.0,110.0,2945,16.4,82,1,26
41,13.0,8,350.0,150.0,4699,14.5,74,1,27
42,20.6,6,231.0,105.0,3380,15.8,78,1,28
43,12.0,8,455.0,225.0,4951,11.0,73,1,29
44,14.0,8,455.0,225.0,3086,10.0,70,1,30
45,16.9,8,350.0,155.0,4360,14.9,79,1,30
46,13.0,8,350.0,155.0,4502,13.5,72,1,31
47,30.0,4,111.0,80.0,2155,14.8,77,1,32
48,17.7,6,231.0,165.0,3445,13.4,78,1,33
49,21.0,6,231.0,110.0,3039,15.0,75,1,34
50,20.5,6,231.0,105.0,3425,16.9,77,1,35
51,26.6,4,151.0,84.0,2635,16.4,81,1,35
52,15.0,8,350.0,165.0,3693,11.5,70,1,36
53,28.4,4,151.0,90.0,2670,16.0,79,1,37
54,23.0,8,350.0,125.0,3900,17.4,79,1,38
55,16.5,8,350.0,180.0,4380,12.1,76,1,39
56,25.0,4,140.0,92.0,2572,14.9,76,1,40
57,16.0,6,250.0,105.0,3897,18.5,75,1,41
58,15.0,8,350.0,145.0,4440,14.0,75,1,42
59,27.0,4,151.0,90.0,2950,17.3,82,1,43
60,13.0,8,400.0,150.0,4464,12.0,73,1,44
61,17.5,8,305.0,145.0,3880,12.5,77,1,44
62,17.0,8,305.0,130.0,3840,15.4,79,1,44
63,28.0,4,112.0,88.0,2605,19.6,82,1,45
64,34.0,4,112.0,88.0,2395,18.0,82,1,46
65,27.0,4,112.0,88.0,2640,18.6,82,1,47
66,13.0,8,307.0,130.0,4098,14.0,72,1,48
67,18.0,8,307.0,130.0,3504,12.0,70,1,49
68,17.0,6,250.0,100.0,3329,15.5,71,1,49
69,16.0,6,250.0,100.0,3781,17.0,74,1,50
70,17.5,8,305.0,140.0,4215,13.0,76,1,50
71,29.0,4,85.0,52.0,2035,22.2,76,1,51
72,30.5,4,98.0,63.0,2051,17.0,77,1,51
73,30.0,4,98.0,68.0,2155,16.5,78,1,51
74,32.1,4,98.0,70.0,2120,15.5,80,1,51
75,28.8,6,173.0,115.0,2595,11.3,79,1,52
76,28.0,4,151.0,90.0,2678,16.5,80,1,52
77,23.5,6,173.0,110.0,2725,12.6,81,1,52
78,17.5,6,250.0,110.0,3520,16.4,77,1,53
79,14.0,8,454.0,220.0,4354,9.0,70,1,54
80,14.0,8,350.0,165.0,4209,12.0,71,1,54
81,13.0,8,350.0,165.0,4274,12.0,72,1,54
82,11.0,8,400.0,150.0,4997,14.0,73,1,54
83,13.0,8,350.0,145.0,3988,13.0,73,1,55
84,20.5,6,200.0,95.0,3155,18.2,78,1,55
85,19.2,8,267.0,125.0,3605,15.0,79,1,56
86,15.0,8,400.0,150.0,3761,9.5,70,1,57
87,15.5,8,350.0,170.0,4165,11.4,77,1,58
88,19.2,8,305.0,145.0,3425,13.2,78,1,58
89,15.0,8,350.0,145.0,4082,13.0,73,1,59
90,20.0,8,262.0,110.0,3221,13.5,75,1,60
91,15.0,6,250.0,100.0,3336,17.0,74,1,61
92,18.0,6,250.0,105.0,3459,16.0,75,1,61
93,22.0,6,250.0,105.0,3353,14.5,76,1,61
94,16.0,6,250.0,100.0,3278,18.0,73,1,62
95,20.0,4,140.0,90.0,2408,19.5,72,1,63
96,21.0,4,140.0,72.0,2401,19.5,73,1,63
97,25.0,4,140.0,75.0,2542,17.0,74,1,63
98,22.0,4,140.0,72.0,2408,19.0,71,1,64
99,28.0,4,140.0,90.0,2264,15.5,71,1,65
100,24.5,4,98.0,60.0,2164,22.1,76,1,66
101,13.0,8,350.0,145.0,4055,12.0,76,1,67
102,10.0,8,307.0,200.0,4376,15.0,70,1,68
103,31.0,4,119.0,82.0,2720,19.4,82,1,69
104,15.5,8,400.0,190.0,4325,12.2,77,1,70
105,26.0,4,156.0,92.0,2585,14.5,82,1,71
106,17.6,6,225.0,85.0,3465,16.6,81,1,72
107,18.5,8,360.0,150.0,3940,13.0,79,1,73
108,13.0,8,440.0,215.0,4735,11.0,73,1,74
109,13.0,8,400.0,190.0,4422,12.5,72,1,75
110,35.0,4,72.0,69.0,1613,18.0,71,3,76
111,23.9,4,119.0,97.0,2405,14.9,78,3,77
112,32.9,4,119.0,100.0,2615,14.8,81,3,78
113,31.8,4,85.0,65.0,2020,19.2,79,3,79
114,40.8,4,85.0,65.0,2110,19.2,80,3,79
115,37.0,4,85.0,65.0,1975,19.4,81,3,80
116,32.7,6,168.0,132.0,2910,11.4,80,3,81
117,37.2,4,86.0,65.0,2019,16.4,80,3,82
118,38.0,4,91.0,67.0,1995,16.2,82,3,83
119,27.2,4,119.0,97.0,2300,14.7,78,3,84
120,28.0,4,97.0,92.0,2288,17.0,72,3,85
121,37.0,4,119.0,92.0,2434,15.0,80,3,86
122,22.0,4,108.0,94.0,2379,16.5,73,3,87
123,32.0,4,83.0,61.0,2003,19.0,74,3,88
124,24.0,4,119.0,97.0,2545,17.0,75,3,88
125,22.0,6,146.0,97.0,2815,14.5,77,3,89
126,24.2,6,146.0,120.0,2930,13.8,81,3,90
127,32.0,4,85.0,70.0,1990,17.0,76,3,91
128,31.0,4,79.0,67.0,1950,19.0,74,3,92
129,39.4,4,85.0,70.0,2070,18.6,78,3,93
130,33.5,4,85.0,70.0,1945,16.8,77,3,94
131,27.0,4,97.0,88.0,2130,14.5,70,3,95
132,27.0,4,97.0,88.0,2130,14.5,71,3,95
133,29.0,4,135.0,84.0,2525,16.0,82,1,96
134,25.8,4,156.0,92.0,2620,14.4,81,1,97
135,18.6,6,225.0,110.0,3620,18.7,78,1,98
136,19.1,6,225.0,90.0,3381,18.7,80,1,98
137,20.6,6,225.0,110.0,3360,16.6,79,1,99
138,20.0,6,225.0,100.0,3651,17.7,76,1,100
139,15.0,8,383.0,170.0,3563,10.0,70,1,101
140,36.0,4,135.0,84.0,2370,13.0,82,1,102
141,28.0,4,90.0,75.0,2125,14.5,74,1,103
142,26.0,4,98.0,79.0,2255,17.7,76,1,103
143,27.9,4,156.0,105.0,2800,14.4,80,1,103
144,28.0,4,98.0,80.0,2164,15.0,72,1,104
145,25.0,4,97.5,80.0,2126,17.0,72,1,105
146,35.7,4,98.0,80.0,1915,14.4,79,1,106
147,33.5,4,98.0,83.0,2075,15.9,77,1,107
148,16.0,8,318.0,150.0,4190,13.0,76,1,108
149,15.0,8,318.0,150.0,3777,12.5,73,1,109
150,14.0,8,318.0,150.0,4457,13.5,74,1,110
151,13.0,8,318.0,150.0,3755,14.0,76,1,111
152,11.0,8,318.0,210.0,4382,13.5,70,1,112
153,15.0,8,318.0,150.0,3399,11.0,73,1,113
154,19.4,8,318.0,140.0,3735,13.2,78,1,114
155,17.5,8,318.0,140.0,4080,13.7,78,1,115
156,12.0,8,383.0,180.0,4955,11.5,71,1,116
157,15.5,8,318.0,145.0,4140,13.7,77,1,117
158,30.9,4,105.0,75.0,2230,14.5,78,1,118
159,32.0,4,135.0,84.0,2295,11.6,82,1,119
160,18.2,8,318.0,135.0,3830,15.2,79,1,120
161,26.0,4,98.0,90.0,2265,15.5,73,2,121
162,26.0,4,116.0,75.0,2246,14.0,74,2,122
163,30.0,4,88.0,76.0,2065,14.5,71,2,123
164,29.0,4,68.0,49.0,1867,19.5,73,2,124
165,24.0,4,90.0,75.0,2108,15.5,74,2,124
166,28.0,4,107.0,86.0,2464,15.5,76,2,125
167,37.3,4,91.0,69.0,2130,14.7,79,2,126
168,31.0,4,79.0,67.0,2000,16.0,74,2,127
169,12.0,8,400.0,167.0,4906,12.5,73,1,128
170,13.0,8,400.0,170.0,4746,12.0,71,1,129
171,15.5,8,351.0,142.0,4054,14.3,79,1,129
172,29.9,4,98.0,65.0,2380,20.7,81,1,130
173,34.4,4,98.0,65.0,2045,16.2,81,1,131
174,13.0,8,302.0,130.0,3870,15.0,76,1,132
175,10.0,8,360.0,215.0,4615,14.0,70,1,133
176,26.4,4,140.0,88.0,2870,18.1,80,1,134
177,20.2,6,200.0,85.0,2965,15.8,78,1,135
178,25.1,4,140.0,88.0,2720,15.4,78,1,136
179,22.3,4,140.0,88.0,2890,17.3,79,1,137
180,24.0,4,140.0,92.0,2865,16.4,82,1,138
181,36.1,4,98.0,66.0,1800,14.4,78,1,139
182,18.1,8,302.0,139.0,3205,11.2,78,1,140
183,15.0,8,429.0,198.0,4341,10.0,70,1,141
184,14.0,8,351.0,153.0,4154,13.5,71,1,141
185,14.0,8,351.0,153.0,4129,13.0,72,1,141
186,14.0,8,302.0,137.0,4042,14.5,73,1,142
187,16.0,8,302.0,140.0,4141,14.0,74,1,142
188,14.5,8,351.0,152.0,4215,12.8,76,1,142
189,13.0,8,302.0,140.0,4294,16.0,72,1,143
190,14.0,8,302.0,140.0,4638,16.0,74,1,143
191,18.5,6,250.0,98.0,3525,19.0,77,1,144
192,18.0,6,250.0,78.0,3574,21.0,76,1,145
193,20.2,6,200.0,88.0,3060,17.1,81,1,146
194,22.0,6,232.0,112.0,2835,14.7,82,1,147
195,13.0,8,351.0,158.0,4363,13.0,73,1,148
196,14.0,8,351.0,148.0,4657,13.5,75,1,148
197,17.6,8,302.0,129.0,3725,13.4,79,1,149
198,21.0,6,200.0,85.0,2587,16.0,70,1,150
199,18.0,6,250.0,88.0,3021,16.5,73,1,150
200,21.0,6,200.0,81.5,2875,17.0,74,1,150
201,15.0,6,250.0,72.0,3158,19.5,75,1,150
202,24.0,6,200.0,81.0,3012,17.6,76,1,150
203,18.0,6,250.0,88.0,3139,14.5,71,1,151
204,23.6,4,140.0,104.35761421319798,2905,14.3,80,1,152
205,27.0,4,140.0,86.0,2790,15.6,82,1,153
206,13.0,8,302.0,129.0,3169,12.0,75,1,154
207,25.5,4,140.0,89.0,2755,15.8,77,1,155
208,25.0,4,98.0,83.4,2046,19.0,71,1,156
209,19.0,4,122.0,85.0,2310,18.5,73,1,156
210,26.0,4,122.0,80.0,2451,16.5,74,1,156
211,23.0,4,140.0,83.0,2639,17.0,75,1,156
212,18.0,6,171.0,97.0,2984,14.5,75,1,156
213,26.5,4,140.0,72.0,2565,13.6,76,1,156
214,22.0,4,122.0,86.0,2395,16.0,72,1,157
215,21.0,4,122.0,86.0,2226,16.5,72,1,158
216,28.0,4,120.0,79.0,2625,18.6,82,1,159
217,16.0,8,351.0,149.0,4335,14.5,77,1,160
218,17.0,8,302.0,140.0,3449,10.5,70,1,161
219,19.0,6,250.0,88.0,3302,15.5,71,1,162
220,9.0,8,304.0,193.0,4732,18.5,70,1,163
221,32.4,4,107.0,72.0,2290,17.0,80,3,164
222,36.0,4,107.0,75.0,2205,14.5,82,3,164
223,31.5,4,98.0,68.0,2045,18.5,77,3,165
224,29.5,4,98.0,68.0,2135,16.6,78,3,166
225,24.0,4,120.0,97.0,2489,15.0,74,3,167
226,33.0,4,91.0,53.0,1795,17.4,76,3,167
227,38.0,4,91.0,67.0,1965,15.0,82,3,167
228,32.0,4,91.0,67.0,1965,15.7,82,3,168
229,35.1,4,81.0,60.0,1760,16.1,81,3,169
230,44.6,4,91.0,67.0,1850,13.8,80,3,170
231,33.0,4,91.0,53.0,1795,17.5,75,3,171
232,36.1,4,91.0,60.0,1800,16.4,78,3,171
233,33.7,4,107.0,75.0,2210,14.4,81,3,172
234,34.1,4,86.0,65.0,1975,15.2,79,3,173
235,18.0,3,70.0,90.0,2124,13.5,73,3,174
236,31.3,4,120.0,75.0,2542,17.5,80,3,175
237,31.6,4,120.0,74.0,2635,18.3,81,3,175
238,46.6,4,86.0,65.0,2110,17.9,80,3,176
239,34.1,4,91.0,68.0,1985,16.0,81,3,177
240,31.0,4,91.0,68.0,1970,17.6,82,3,178
241,37.0,4,91.0,68.0,2025,18.2,82,3,179
242,32.8,4,78.0,52.0,1985,19.4,78,3,180
243,21.5,3,80.0,110.0,2720,13.5,77,3,181
244,23.7,3,70.0,100.0,2420,12.5,80,3,182
245,19.0,3,70.0,97.0,2330,13.5,72,3,183
246,25.4,5,183.0,77.0,3530,20.1,79,2,184
247,30.0,4,146.0,67.0,3250,21.8,80,2,185
248,16.5,6,168.0,120.0,3820,16.7,76,2,186
249,23.0,4,122.0,86.0,2220,14.0,71,1,187
250,21.0,6,155.0,107.0,2472,14.0,73,1,188
251,15.0,8,302.0,130.0,4295,14.9,77,1,189
252,16.5,8,351.0,138.0,3955,13.2,79,1,190
253,36.0,4,98.0,70.0,2125,17.3,82,1,191
254,11.0,8,429.0,208.0,4633,11.0,72,1,192
255,12.0,8,429.0,198.0,4952,11.5,73,1,193
256,15.0,6,250.0,72.0,3432,21.0,75,1,194
257,20.2,8,302.0,139.0,3570,12.8,78,1,195
258,20.8,6,200.0,85.0,3070,16.7,78,1,196
259,19.8,6,200.0,85.0,2990,18.2,79,1,197
260,36.0,4,120.0,88.0,2160,14.5,82,3,198
261,38.0,6,262.0,85.0,3015,17.0,82,1,199
262,26.6,8,350.0,105.0,3725,19.0,81,1,200
263,19.9,8,260.0,110.0,3365,15.5,78,1,201
264,23.9,8,260.0,90.0,3420,22.2,79,1,201
265,17.0,8,260.0,110.0,4060,19.0,77,1,202
266,12.0,8,350.0,160.0,4456,13.5,72,1,203
267,11.0,8,350.0,180.0,3664,11.0,73,1,204
268,26.8,6,173.0,115.0,2700,12.9,79,1,205
269,23.8,4,151.0,85.0,2855,17.6,78,1,206
270,12.0,8,350.0,180.0,4499,12.5,73,1,207
271,28.0,4,116.0,90.0,2123,14.0,71,2,208
272,25.0,4,116.0,81.0,2220,16.9,76,2,208
273,24.0,4,116.0,75.0,2158,15.5,73,2,209
274,26.0,4,97.0,78.0,2300,14.5,74,2,209
275,30.0,4,79.0,70.0,2074,19.5,71,2,210
276,25.0,4,110.0,87.0,2672,17.5,70,2,211
277,23.0,4,120.0,88.0,2957,17.0,75,2,211
278,19.0,4,120.0,88.0,3270,21.9,76,2,211
279,27.2,4,141.0,71.0,3190,24.8,79,2,211
280,21.0,4,120.0,87.0,2979,19.5,72,2,212
281,28.1,4,141.0,80.0,3230,20.4,81,2,213
282,16.2,6,163.0,133.0,3410,15.8,78,2,214
283,14.0,8,340.0,160.0,3609,8.0,70,1,215
284,25.5,4,122.0,96.0,2300,15.5,77,1,216
285,39.0,4,86.0,64.0,1875,16.4,81,1,217
286,26.0,4,91.0,70.0,1955,20.5,71,1,218
287,13.0,8,360.0,170.0,4654,13.0,73,1,219
288,22.0,6,198.0,95.0,2833,15.5,70,1,220
289,23.0,6,198.0,95.0,2904,16.0,73,1,220
290,20.0,6,198.0,95.0,3102,16.5,74,1,220
291,18.0,6,225.0,95.0,3785,19.0,75,1,221
292,14.0,8,318.0,150.0,4237,14.5,73,1,222
293,14.0,8,440.0,215.0,4312,8.5,70,1,223
294,14.0,8,318.0,150.0,4096,13.0,71,1,223
295,15.0,8,318.0,150.0,4135,13.5,72,1,223
296,16.0,8,318.0,150.0,4498,14.5,75,1,224
297,34.2,4,105.0,70.0,2200,13.2,79,1,225
298,34.7,4,105.0,63.0,2215,14.9,81,1,226
299,38.0,4,105.0,63.0,2125,14.7,82,1,227
300,34.5,4,105.0,70.0,2150,14.9,79,1,228
